year,lgid,teamid,franchid,divid,rank,g,w,l,divwin,wcwin,lgwin,wswin,r,ra,name,attendance,payroll
1968,AL,CHA,CHW,,8,162,67,95,,,N,N,463,527,Chicago White Sox,803775,
1969,AL,CHA,CHW,W,5,162,68,94,N,,N,N,625,723,Chicago White Sox,589546,
1970,AL,CHA,CHW,W,6,162,56,106,N,,N,N,633,822,Chicago White Sox,495355,
1971,AL,CHA,CHW,W,3,162,79,83,N,,N,N,617,597,Chicago White Sox,833891,
1972,AL,CHA,CHW,W,2,154,87,67,N,,N,N,566,538,Chicago White Sox,1177318,
1973,AL,CHA,CHW,W,5,162,77,85,N,,N,N,652,705,Chicago White Sox,1302527,
1974,AL,CHA,CHW,W,4,163,80,80,N,,N,N,684,721,Chicago White Sox,1149596,
1975,AL,CHA,CHW,W,5,161,75,86,N,,N,N,655,703,Chicago White Sox,750802,
1976,AL,CHA,CHW,W,6,161,64,97,N,,N,N,586,745,Chicago White Sox,914945,
1977,AL,CHA,CHW,W,3,162,90,72,N,,N,N,844,771,Chicago White Sox,1657135,
1978,AL,CHA,CHW,W,5,161,71,90,N,,N,N,634,731,Chicago White Sox,1491100,
1979,AL,CHA,CHW,W,5,159,73,87,N,,N,N,730,748,Chicago White Sox,1280702,
1980,AL,CHA,CHW,W,5,162,70,90,N,,N,N,587,722,Chicago White Sox,1200365,
1981,AL,CHA,CHW,W,3,106,54,52,N,,N,N,476,423,Chicago White Sox,946651,
1982,AL,CHA,CHW,W,3,162,87,75,N,,N,N,786,710,Chicago White Sox,1567787,
1983,AL,CHA,CHW,W,1,162,99,63,Y,,N,N,800,650,Chicago White Sox,2132821,
1984,AL,CHA,CHW,W,5,162,74,88,N,,N,N,679,736,Chicago White Sox,2136988,
1985,AL,CHA,CHW,W,3,163,85,77,N,,N,N,736,720,Chicago White Sox,1669888,9846178
1986,AL,CHA,CHW,W,5,162,72,90,N,,N,N,644,699,Chicago White Sox,1424313,10418819
1987,AL,CHA,CHW,W,5,162,77,85,N,,N,N,748,746,Chicago White Sox,1208060,10641843
1988,AL,CHA,CHW,W,5,161,71,90,N,,N,N,631,757,Chicago White Sox,1115749,6390000
1989,AL,CHA,CHW,W,7,161,69,92,N,,N,N,693,750,Chicago White Sox,1045651,7265410
1990,AL,CHA,CHW,W,2,162,94,68,N,,N,N,682,633,Chicago White Sox,2002357,9491500
1991,AL,CHA,CHW,W,2,162,87,75,N,,N,N,758,681,Chicago White Sox,2934154,16919667
1992,AL,CHA,CHW,W,3,162,86,76,N,,N,N,738,690,Chicago White Sox,2681156,30160833
1993,AL,CHA,CHW,W,1,162,94,68,Y,,N,N,776,664,Chicago White Sox,2581091,39696166
1994,AL,CHA,CHW,C,1,113,67,46,,,,,633,498,Chicago White Sox,1697398,39183836
1995,AL,CHA,CHW,C,3,145,68,76,N,N,N,N,755,758,Chicago White Sox,1609773,46961282
1996,AL,CHA,CHW,C,2,162,85,77,N,N,N,N,898,794,Chicago White Sox,1676403,45139500
1997,AL,CHA,CHW,C,2,161,80,81,N,N,N,N,779,833,Chicago White Sox,1864782,57740000
1998,AL,CHA,CHW,C,2,163,80,82,N,N,N,N,861,931,Chicago White Sox,1391146,38335000
1999,AL,CHA,CHW,C,2,162,75,86,N,N,N,N,777,870,Chicago White Sox,1338851,25620000
2000,AL,CHA,CHW,C,1,162,95,67,Y,N,N,N,978,839,Chicago White Sox,1947799,31133500
2001,AL,CHA,CHW,C,3,162,83,79,N,N,N,N,798,795,Chicago White Sox,1766172,65653667
2002,AL,CHA,CHW,C,2,162,81,81,N,N,N,N,856,798,Chicago White Sox,1676911,57052833
2003,AL,CHA,CHW,C,2,162,86,76,N,N,N,N,791,715,Chicago White Sox,1939524,51010000
2004,AL,CHA,CHW,C,2,162,83,79,N,N,N,N,865,831,Chicago White Sox,1930537,65212500
2005,AL,CHA,CHW,C,1,162,99,63,Y,N,Y,Y,741,645,Chicago White Sox,2342833,75178000
2006,AL,CHA,CHW,C,3,162,90,72,N,N,N,N,868,794,Chicago White Sox,2957414,102750667
2007,AL,CHA,CHW,C,4,162,72,90,N,N,N,N,693,839,Chicago White Sox,2684395,108671833
2008,AL,CHA,CHW,C,1,163,89,74,Y,N,N,N,811,729,Chicago White Sox,2500648,121189332
2009,AL,CHA,CHW,C,3,162,79,83,N,N,N,N,724,732,Chicago White Sox,2284163,96068500
2010,AL,CHA,CHW,C,2,162,88,74,N,N,N,N,752,704,Chicago White Sox,2194378,105530000
2011,AL,CHA,CHW,C,3,162,79,83,N,N,N,N,654,706,Chicago White Sox,2001117,127789000
2012,AL,CHA,CHW,C,2,162,85,77,N,N,N,N,748,676,Chicago White Sox,1965955,96919500
2013,AL,CHA,CHW,C,5,162,63,99,N,N,N,N,598,723,Chicago White Sox,1768413,120065277
2014,AL,CHA,CHW,C,4,162,73,89,N,N,N,N,660,758,Chicago White Sox,1650821,81830500
2015,AL,CHA,CHW,C,4,162,76,86,N,N,N,N,622,701,Chicago White Sox,1755810,112373700
2016,AL,CHA,CHW,C,4,162,78,84,N,N,N,N,686,715,Chicago White Sox,1746293,112998667
2017,AL,CHA,CHW,C,4,162,67,95,N,N,N,N,706,820,Chicago White Sox,1629470,99119770
2018,AL,CHA,CHW,C,4,162,62,100,N,N,N,N,656,848,Chicago White Sox,1608817,72180000
2019,AL,CHA,CHW,C,3,161,72,89,N,N,N,N,708,832,Chicago White Sox,1649775,88312121
2020,AL,CHA,CHW,C,2,60,35,25,N,Y,N,N,306,246,Chicago White Sox,0,51404630
1901,NL,CIN,CIN,,8,142,52,87,,,N,,561,818,Cincinnati Reds,205728,
1902,NL,CIN,CIN,,4,141,70,70,,,N,,633,566,Cincinnati Reds,217300,
1903,NL,CIN,CIN,,4,141,74,65,,,N,N,765,656,Cincinnati Reds,351680,
1904,NL,CIN,CIN,,3,157,88,65,,,N,,695,547,Cincinnati Reds,391915,
1905,NL,CIN,CIN,,5,155,79,74,,,N,N,736,698,Cincinnati Reds,313927,
1906,NL,CIN,CIN,,6,155,64,87,,,N,N,533,582,Cincinnati Reds,330056,
1907,NL,CIN,CIN,,6,156,66,87,,,N,N,526,519,Cincinnati Reds,317500,
1908,NL,CIN,CIN,,5,155,73,81,,,N,N,488,543,Cincinnati Reds,399200,
1909,NL,CIN,CIN,,4,157,77,76,,,N,N,606,599,Cincinnati Reds,424643,
1910,NL,CIN,CIN,,5,156,75,79,,,N,N,620,684,Cincinnati Reds,380622,
1911,NL,CIN,CIN,,6,159,70,83,,,N,N,682,706,Cincinnati Reds,300000,
1912,NL,CIN,CIN,,4,155,75,78,,,N,N,656,722,Cincinnati Reds,344000,
1913,NL,CIN,CIN,,7,156,64,89,,,N,N,607,717,Cincinnati Reds,258000,
1914,NL,CIN,CIN,,8,157,60,94,,,N,N,530,651,Cincinnati Reds,100791,
1915,NL,CIN,CIN,,7,160,71,83,,,N,N,516,585,Cincinnati Reds,218878,
1916,NL,CIN,CIN,,7,155,60,93,,,N,N,505,617,Cincinnati Reds,255846,
1917,NL,CIN,CIN,,4,157,78,76,,,N,N,601,611,Cincinnati Reds,269056,
1918,NL,CIN,CIN,,3,129,68,60,,,N,N,530,496,Cincinnati Reds,163009,
1919,NL,CIN,CIN,,1,140,96,44,,,Y,Y,577,401,Cincinnati Reds,532501,
1920,NL,CIN,CIN,,3,154,82,71,,,N,N,639,569,Cincinnati Reds,568107,
1921,NL,CIN,CIN,,6,153,70,83,,,N,N,618,649,Cincinnati Reds,311227,
1922,NL,CIN,CIN,,2,156,86,68,,,N,N,766,677,Cincinnati Reds,493754,
1923,NL,CIN,CIN,,2,154,91,63,,,N,N,708,629,Cincinnati Reds,575063,
1924,NL,CIN,CIN,,4,153,83,70,,,N,N,649,579,Cincinnati Reds,473707,
1925,NL,CIN,CIN,,3,153,80,73,,,N,N,690,643,Cincinnati Reds,464920,
1926,NL,CIN,CIN,,2,157,87,67,,,N,N,747,651,Cincinnati Reds,672987,
1927,NL,CIN,CIN,,5,153,75,78,,,N,N,643,653,Cincinnati Reds,442164,
1928,NL,CIN,CIN,,5,153,78,74,,,N,N,648,686,Cincinnati Reds,490490,
1929,NL,CIN,CIN,,7,155,66,88,,,N,N,686,760,Cincinnati Reds,295040,
1930,NL,CIN,CIN,,7,154,59,95,,,N,N,665,857,Cincinnati Reds,386727,
1931,NL,CIN,CIN,,8,154,58,96,,,N,N,592,742,Cincinnati Reds,263316,
1932,NL,CIN,CIN,,8,155,60,94,,,N,N,575,715,Cincinnati Reds,356950,
1933,NL,CIN,CIN,,8,153,58,94,,,N,N,496,643,Cincinnati Reds,218281,
1934,NL,CIN,CIN,,8,152,52,99,,,N,N,590,801,Cincinnati Reds,206773,
1935,NL,CIN,CIN,,6,154,68,85,,,N,N,646,772,Cincinnati Reds,448247,
1936,NL,CIN,CIN,,5,154,74,80,,,N,N,722,760,Cincinnati Reds,466345,
1937,NL,CIN,CIN,,8,155,56,98,,,N,N,612,707,Cincinnati Reds,411221,
1938,NL,CIN,CIN,,4,151,82,68,,,N,N,723,634,Cincinnati Reds,706756,
1939,NL,CIN,CIN,,1,156,97,57,,,Y,N,767,595,Cincinnati Reds,981443,
1940,NL,CIN,CIN,,1,155,100,53,,,Y,Y,707,528,Cincinnati Reds,850180,
1941,NL,CIN,CIN,,3,154,88,66,,,N,N,616,564,Cincinnati Reds,643513,
1942,NL,CIN,CIN,,4,154,76,76,,,N,N,527,545,Cincinnati Reds,427031,
1943,NL,CIN,CIN,,2,155,87,67,,,N,N,608,543,Cincinnati Reds,379122,
1944,NL,CIN,CIN,,3,155,89,65,,,N,N,573,537,Cincinnati Reds,409567,
1945,NL,CIN,CIN,,7,154,61,93,,,N,N,536,694,Cincinnati Reds,290070,
1946,NL,CIN,CIN,,6,156,67,87,,,N,N,523,570,Cincinnati Reds,715751,
1947,NL,CIN,CIN,,5,154,73,81,,,N,N,681,755,Cincinnati Reds,899975,
1948,NL,CIN,CIN,,7,153,64,89,,,N,N,588,752,Cincinnati Reds,823386,
1949,NL,CIN,CIN,,7,156,62,92,,,N,N,627,770,Cincinnati Reds,707782,
1950,NL,CIN,CIN,,6,153,66,87,,,N,N,654,734,Cincinnati Reds,538794,
1951,NL,CIN,CIN,,6,155,68,86,,,N,N,559,667,Cincinnati Reds,588268,
1952,NL,CIN,CIN,,6,154,69,85,,,N,N,615,659,Cincinnati Reds,604197,
1953,NL,CIN,CIN,,6,155,68,86,,,N,N,714,788,Cincinnati Reds,548086,
1954,NL,CIN,CIN,,5,154,74,80,,,N,N,729,763,Cincinnati Redlegs,704167,
1955,NL,CIN,CIN,,5,154,75,79,,,N,N,761,684,Cincinnati Redlegs,693662,
1956,NL,CIN,CIN,,3,155,91,63,,,N,N,775,658,Cincinnati Redlegs,1125928,
1957,NL,CIN,CIN,,4,154,80,74,,,N,N,747,781,Cincinnati Redlegs,1070850,
1958,NL,CIN,CIN,,4,154,76,78,,,N,N,695,621,Cincinnati Redlegs,788582,
1959,NL,CIN,CIN,,5,154,74,80,,,N,N,764,738,Cincinnati Redlegs,801298,
1960,NL,CIN,CIN,,6,154,67,87,,,N,N,640,692,Cincinnati Reds,663486,
1961,NL,CIN,CIN,,1,154,93,61,,,Y,N,710,653,Cincinnati Reds,1117603,
1962,NL,CIN,CIN,,3,162,98,64,,,N,N,802,685,Cincinnati Reds,982095,
1963,NL,CIN,CIN,,5,162,86,76,,,N,N,648,594,Cincinnati Reds,858805,
1964,NL,CIN,CIN,,2,163,92,70,,,N,N,660,566,Cincinnati Reds,862466,
1965,NL,CIN,CIN,,4,162,89,73,,,N,N,825,704,Cincinnati Reds,1047824,
1966,NL,CIN,CIN,,7,160,76,84,,,N,N,692,702,Cincinnati Reds,742958,
1967,NL,CIN,CIN,,4,162,87,75,,,N,N,604,563,Cincinnati Reds,958300,
1968,NL,CIN,CIN,,4,163,83,79,,,N,N,690,673,Cincinnati Reds,733354,
1969,NL,CIN,CIN,W,3,163,89,73,N,,N,N,798,768,Cincinnati Reds,987991,
1970,NL,CIN,CIN,W,1,162,102,60,Y,,Y,N,775,681,Cincinnati Reds,1803568,
1971,NL,CIN,CIN,W,4,162,79,83,N,,N,N,586,581,Cincinnati Reds,1501122,
1972,NL,CIN,CIN,W,1,154,95,59,Y,,Y,N,707,557,Cincinnati Reds,1611459,
1973,NL,CIN,CIN,W,1,162,99,63,Y,,N,N,741,621,Cincinnati Reds,2017601,
1974,NL,CIN,CIN,W,2,163,98,64,N,,N,N,776,631,Cincinnati Reds,2164307,
1975,NL,CIN,CIN,W,1,162,108,54,Y,,Y,Y,840,586,Cincinnati Reds,2315603,
1976,NL,CIN,CIN,W,1,162,102,60,Y,,Y,Y,857,633,Cincinnati Reds,2629708,
1977,NL,CIN,CIN,W,2,162,88,74,N,,N,N,802,725,Cincinnati Reds,2519670,
1978,NL,CIN,CIN,W,2,161,92,69,N,,N,N,710,688,Cincinnati Reds,2532497,
1979,NL,CIN,CIN,W,1,161,90,71,Y,,N,N,731,644,Cincinnati Reds,2356933,
1980,NL,CIN,CIN,W,3,163,89,73,N,,N,N,707,670,Cincinnati Reds,2022450,
1981,NL,CIN,CIN,W,1,108,66,42,N,,N,N,464,440,Cincinnati Reds,1093730,
1982,NL,CIN,CIN,W,6,162,61,101,N,,N,N,545,661,Cincinnati Reds,1326528,
1983,NL,CIN,CIN,W,6,162,74,88,N,,N,N,623,710,Cincinnati Reds,1190419,
1984,NL,CIN,CIN,W,5,162,70,92,N,,N,N,627,747,Cincinnati Reds,1275887,
1985,NL,CIN,CIN,W,2,162,89,72,N,,N,N,677,666,Cincinnati Reds,1834619,8359917
1986,NL,CIN,CIN,W,2,162,86,76,N,,N,N,732,717,Cincinnati Reds,1692432,11906388
1987,NL,CIN,CIN,W,2,162,84,78,N,,N,N,783,752,Cincinnati Reds,2185205,9281500
1988,NL,CIN,CIN,W,2,161,87,74,N,,N,N,641,596,Cincinnati Reds,2072528,8888409
1989,NL,CIN,CIN,W,5,162,75,87,N,,N,N,632,691,Cincinnati Reds,1979320,11072000
1990,NL,CIN,CIN,W,1,162,91,71,Y,,Y,Y,693,597,Cincinnati Reds,2400892,14370000
1991,NL,CIN,CIN,W,5,162,74,88,N,,N,N,689,691,Cincinnati Reds,2372377,26305333
1992,NL,CIN,CIN,W,2,162,90,72,N,,N,N,660,609,Cincinnati Reds,2315946,35931499
1993,NL,CIN,CIN,W,5,162,73,89,N,,N,N,722,785,Cincinnati Reds,2453232,44879666
1994,NL,CIN,CIN,C,1,115,66,48,,,,,609,490,Cincinnati Reds,1897681,40961833
1995,NL,CIN,CIN,C,1,144,85,59,Y,N,N,N,747,623,Cincinnati Reds,1837649,43144670
1996,NL,CIN,CIN,C,3,162,81,81,N,N,N,N,778,773,Cincinnati Reds,1861428,42526334
1997,NL,CIN,CIN,C,3,162,76,86,N,N,N,N,651,764,Cincinnati Reds,1785788,49768000
1998,NL,CIN,CIN,C,4,162,77,85,N,N,N,N,750,760,Cincinnati Reds,1793649,23005000
1999,NL,CIN,CIN,C,2,163,96,67,N,N,N,N,865,711,Cincinnati Reds,2061222,33962761
2000,NL,CIN,CIN,C,2,163,85,77,N,N,N,N,825,765,Cincinnati Reds,2577371,46867200
2001,NL,CIN,CIN,C,5,162,66,96,N,N,N,N,735,850,Cincinnati Reds,1879757,48986000
2002,NL,CIN,CIN,C,3,162,78,84,N,N,N,N,709,774,Cincinnati Reds,1855787,45050390
2003,NL,CIN,CIN,C,5,162,69,93,N,N,N,N,694,886,Cincinnati Reds,2355259,59355667
2004,NL,CIN,CIN,C,4,162,76,86,N,N,N,N,750,907,Cincinnati Reds,2287250,46615250
2005,NL,CIN,CIN,C,5,163,73,89,N,N,N,N,820,889,Cincinnati Reds,1943067,61892583
2006,NL,CIN,CIN,C,3,162,80,82,N,N,N,N,749,801,Cincinnati Reds,2134607,60909519
2007,NL,CIN,CIN,C,5,162,72,90,N,N,N,N,783,853,Cincinnati Reds,2058593,68524980
2008,NL,CIN,CIN,C,5,162,74,88,N,N,N,N,704,800,Cincinnati Reds,2058632,74117695
2009,NL,CIN,CIN,C,4,162,78,84,N,N,N,N,673,723,Cincinnati Reds,1747919,73558500
2010,NL,CIN,CIN,C,1,162,91,71,Y,N,N,N,790,685,Cincinnati Reds,2060550,71761542
2011,NL,CIN,CIN,C,3,162,79,83,N,N,N,N,735,720,Cincinnati Reds,2213588,75947134
2012,NL,CIN,CIN,C,1,162,97,65,Y,N,N,N,669,588,Cincinnati Reds,2347251,82203616
2013,NL,CIN,CIN,C,3,162,90,72,N,Y,N,N,698,589,Cincinnati Reds,2534369,106404462
2014,NL,CIN,CIN,C,4,162,76,86,N,N,N,N,595,612,Cincinnati Reds,2476664,108217500
2015,NL,CIN,CIN,C,5,162,64,98,N,N,N,N,640,754,Cincinnati Reds,2419506,113072286
2016,NL,CIN,CIN,C,5,162,68,94,N,N,N,N,716,854,Cincinnati Reds,1894085,88940059
2017,NL,CIN,CIN,C,5,162,68,94,N,N,N,N,753,869,Cincinnati Reds,1836917,93768785
2018,NL,CIN,CIN,C,5,162,67,95,N,N,N,N,696,819,Cincinnati Reds,1629356,101190000
2019,NL,CIN,CIN,C,4,162,75,87,N,N,N,N,701,711,Cincinnati Reds,1808685,126423214
2020,NL,CIN,CIN,C,2,60,31,29,N,Y,N,N,243,243,Cincinnati Reds,0,53315987
1901,AL,CLE,CLE,,7,138,54,82,,,N,,666,831,Cleveland Blues,131380,
1902,AL,CLE,CLE,,5,137,69,67,,,N,,686,667,Cleveland Bronchos,275395,
1903,AL,CLE,CLE,,3,140,77,63,,,N,N,639,579,Cleveland Naps,311280,
1904,AL,CLE,CLE,,4,154,86,65,,,N,,647,482,Cleveland Naps,264749,
1905,AL,CLE,CLE,,5,155,76,78,,,N,N,564,587,Cleveland Naps,316306,
1906,AL,CLE,CLE,,3,157,89,64,,,N,N,663,481,Cleveland Naps,325733,
1907,AL,CLE,CLE,,4,158,85,67,,,N,N,531,525,Cleveland Naps,382046,
1908,AL,CLE,CLE,,2,157,90,64,,,N,N,569,459,Cleveland Naps,422262,
1909,AL,CLE,CLE,,6,155,71,82,,,N,N,493,532,Cleveland Naps,354627,
1910,AL,CLE,CLE,,5,161,71,81,,,N,N,548,657,Cleveland Naps,293456,
1911,AL,CLE,CLE,,3,156,80,73,,,N,N,691,712,Cleveland Naps,406296,
1912,AL,CLE,CLE,,5,155,75,78,,,N,N,677,681,Cleveland Naps,336844,
1913,AL,CLE,CLE,,3,155,86,66,,,N,N,633,536,Cleveland Naps,541000,
1914,AL,CLE,CLE,,8,157,51,102,,,N,N,538,709,Cleveland Naps,185997,
1915,AL,CLE,CLE,,7,154,57,95,,,N,N,539,670,Cleveland Indians,159285,
1916,AL,CLE,CLE,,6,157,77,77,,,N,N,630,602,Cleveland Indians,492106,
1917,AL,CLE,CLE,,3,156,88,66,,,N,N,584,543,Cleveland Indians,477298,
1918,AL,CLE,CLE,,2,129,73,54,,,N,N,504,447,Cleveland Indians,295515,
1919,AL,CLE,CLE,,2,139,84,55,,,N,N,636,537,Cleveland Indians,538135,
1920,AL,CLE,CLE,,1,154,98,56,,,Y,Y,857,642,Cleveland Indians,912832,
1921,AL,CLE,CLE,,2,154,94,60,,,N,N,925,712,Cleveland Indians,748705,
1922,AL,CLE,CLE,,4,155,78,76,,,N,N,768,817,Cleveland Indians,528145,
1923,AL,CLE,CLE,,3,153,82,71,,,N,N,888,746,Cleveland Indians,558856,
1924,AL,CLE,CLE,,6,153,67,86,,,N,N,755,814,Cleveland Indians,481905,
1925,AL,CLE,CLE,,6,155,70,84,,,N,N,782,817,Cleveland Indians,419005,
1926,AL,CLE,CLE,,2,154,88,66,,,N,N,738,612,Cleveland Indians,627426,
1927,AL,CLE,CLE,,6,153,66,87,,,N,N,668,766,Cleveland Indians,373138,
1928,AL,CLE,CLE,,7,155,62,92,,,N,N,674,830,Cleveland Indians,375907,
1929,AL,CLE,CLE,,3,152,81,71,,,N,N,717,736,Cleveland Indians,536210,
1930,AL,CLE,CLE,,4,154,81,73,,,N,N,890,915,Cleveland Indians,528657,
1931,AL,CLE,CLE,,4,155,78,76,,,N,N,885,833,Cleveland Indians,483027,
1932,AL,CLE,CLE,,4,153,87,65,,,N,N,845,747,Cleveland Indians,468953,
1933,AL,CLE,CLE,,4,151,75,76,,,N,N,654,669,Cleveland Indians,387936,
1934,AL,CLE,CLE,,3,154,85,69,,,N,N,814,763,Cleveland Indians,391338,
1935,AL,CLE,CLE,,3,156,82,71,,,N,N,776,739,Cleveland Indians,397615,
1936,AL,CLE,CLE,,5,157,80,74,,,N,N,921,862,Cleveland Indians,500391,
1937,AL,CLE,CLE,,4,156,83,71,,,N,N,817,768,Cleveland Indians,564849,
1938,AL,CLE,CLE,,3,153,86,66,,,N,N,847,782,Cleveland Indians,652006,
1939,AL,CLE,CLE,,3,154,87,67,,,N,N,797,700,Cleveland Indians,563926,
1940,AL,CLE,CLE,,2,155,89,65,,,N,N,710,637,Cleveland Indians,902576,
1941,AL,CLE,CLE,,4,155,75,79,,,N,N,677,668,Cleveland Indians,745948,
1942,AL,CLE,CLE,,4,156,75,79,,,N,N,590,659,Cleveland Indians,459447,
1943,AL,CLE,CLE,,3,153,82,71,,,N,N,600,577,Cleveland Indians,438894,
1944,AL,CLE,CLE,,5,155,72,82,,,N,N,643,677,Cleveland Indians,475272,
1945,AL,CLE,CLE,,5,147,73,72,,,N,N,557,548,Cleveland Indians,558182,
1946,AL,CLE,CLE,,6,156,68,86,,,N,N,537,638,Cleveland Indians,1057289,
1947,AL,CLE,CLE,,4,157,80,74,,,N,N,687,588,Cleveland Indians,1521978,
1948,AL,CLE,CLE,,1,156,97,58,,,Y,Y,840,568,Cleveland Indians,2620627,
1949,AL,CLE,CLE,,3,154,89,65,,,N,N,675,574,Cleveland Indians,2233771,
1950,AL,CLE,CLE,,4,155,92,62,,,N,N,806,654,Cleveland Indians,1727464,
1951,AL,CLE,CLE,,2,155,93,61,,,N,N,696,594,Cleveland Indians,1704984,
1952,AL,CLE,CLE,,2,155,93,61,,,N,N,763,606,Cleveland Indians,1444607,
1953,AL,CLE,CLE,,2,155,92,62,,,N,N,770,627,Cleveland Indians,1069176,
1954,AL,CLE,CLE,,1,156,111,43,,,Y,N,746,504,Cleveland Indians,1335472,
1955,AL,CLE,CLE,,2,154,93,61,,,N,N,698,601,Cleveland Indians,1221780,
1956,AL,CLE,CLE,,2,155,88,66,,,N,N,712,581,Cleveland Indians,865467,
1957,AL,CLE,CLE,,6,153,76,77,,,N,N,682,722,Cleveland Indians,722256,
1958,AL,CLE,CLE,,4,153,77,76,,,N,N,694,635,Cleveland Indians,663805,
1959,AL,CLE,CLE,,2,154,89,65,,,N,N,745,646,Cleveland Indians,1497976,
1960,AL,CLE,CLE,,4,154,76,78,,,N,N,667,693,Cleveland Indians,950985,
1961,AL,CLE,CLE,,5,161,78,83,,,N,N,737,752,Cleveland Indians,725547,
1962,AL,CLE,CLE,,6,162,80,82,,,N,N,682,745,Cleveland Indians,716076,
1963,AL,CLE,CLE,,5,162,79,83,,,N,N,635,702,Cleveland Indians,562507,
1964,AL,CLE,CLE,,6,164,79,83,,,N,N,689,693,Cleveland Indians,653293,
1965,AL,CLE,CLE,,5,162,87,75,,,N,N,663,613,Cleveland Indians,934786,
1966,AL,CLE,CLE,,5,162,81,81,,,N,N,574,586,Cleveland Indians,903359,
1967,AL,CLE,CLE,,8,162,75,87,,,N,N,559,613,Cleveland Indians,662980,
1968,AL,CLE,CLE,,3,162,86,75,,,N,N,516,504,Cleveland Indians,857994,
1969,AL,CLE,CLE,E,6,161,62,99,N,,N,N,573,717,Cleveland Indians,619970,
1970,AL,CLE,CLE,E,5,162,76,86,N,,N,N,649,675,Cleveland Indians,729752,
1971,AL,CLE,CLE,E,6,162,60,102,N,,N,N,543,747,Cleveland Indians,591361,
1972,AL,CLE,CLE,E,5,156,72,84,N,,N,N,472,519,Cleveland Indians,626354,
1973,AL,CLE,CLE,E,6,162,71,91,N,,N,N,680,826,Cleveland Indians,615107,
1974,AL,CLE,CLE,E,4,162,77,85,N,,N,N,662,694,Cleveland Indians,1114262,
1975,AL,CLE,CLE,E,4,159,79,80,N,,N,N,688,703,Cleveland Indians,977039,
1976,AL,CLE,CLE,E,4,159,81,78,N,,N,N,615,615,Cleveland Indians,948776,
1977,AL,CLE,CLE,E,5,161,71,90,N,,N,N,676,739,Cleveland Indians,900365,
1978,AL,CLE,CLE,E,6,159,69,90,N,,N,N,639,694,Cleveland Indians,800584,
1979,AL,CLE,CLE,E,6,161,81,80,N,,N,N,760,805,Cleveland Indians,1011644,
1980,AL,CLE,CLE,E,6,160,79,81,N,,N,N,738,807,Cleveland Indians,1033827,
1981,AL,CLE,CLE,E,6,103,52,51,N,,N,N,431,442,Cleveland Indians,661395,
1982,AL,CLE,CLE,E,6,162,78,84,N,,N,N,683,748,Cleveland Indians,1044021,
1983,AL,CLE,CLE,E,7,162,70,92,N,,N,N,704,785,Cleveland Indians,768941,
1984,AL,CLE,CLE,E,6,163,75,87,N,,N,N,761,766,Cleveland Indians,734079,
1985,AL,CLE,CLE,E,7,162,60,102,N,,N,N,729,861,Cleveland Indians,655181,6551666
1986,AL,CLE,CLE,E,5,163,84,78,N,,N,N,831,841,Cleveland Indians,1471805,7809500
1987,AL,CLE,CLE,E,7,162,61,101,N,,N,N,742,957,Cleveland Indians,1077898,8513750
1988,AL,CLE,CLE,E,6,162,78,84,N,,N,N,666,731,Cleveland Indians,1411610,8936500
1989,AL,CLE,CLE,E,6,162,73,89,N,,N,N,604,654,Cleveland Indians,1285542,9094500
1990,AL,CLE,CLE,E,4,162,77,85,N,,N,N,732,737,Cleveland Indians,1225240,14487000
1991,AL,CLE,CLE,E,7,162,57,105,N,,N,N,576,759,Cleveland Indians,1051863,17635000
1992,AL,CLE,CLE,E,4,162,76,86,N,,N,N,674,746,Cleveland Indians,1224094,9373044
1993,AL,CLE,CLE,E,6,162,76,86,N,,N,N,790,813,Cleveland Indians,2177908,18561000
1994,AL,CLE,CLE,C,2,113,66,47,,,,,679,562,Cleveland Indians,1995174,30490500
1995,AL,CLE,CLE,C,1,144,100,44,Y,N,Y,N,840,607,Cleveland Indians,2842745,37937835
1996,AL,CLE,CLE,C,1,161,99,62,Y,N,N,N,952,769,Cleveland Indians,3318174,48107360
1997,AL,CLE,CLE,C,1,161,86,75,Y,N,Y,N,868,815,Cleveland Indians,3404750,56802460
1998,AL,CLE,CLE,C,1,162,89,73,Y,N,N,N,850,779,Cleveland Indians,3467299,60800166
1999,AL,CLE,CLE,C,1,162,97,65,Y,N,N,N,1009,860,Cleveland Indians,3468456,72978462
2000,AL,CLE,CLE,C,2,162,90,72,N,N,N,N,950,816,Cleveland Indians,3456278,75880771
2001,AL,CLE,CLE,C,1,162,91,71,Y,N,N,N,897,821,Cleveland Indians,3175523,93152001
2002,AL,CLE,CLE,C,3,162,74,88,N,N,N,N,739,837,Cleveland Indians,2616940,78909449
2003,AL,CLE,CLE,C,4,162,68,94,N,N,N,N,699,778,Cleveland Indians,1730002,48584834
2004,AL,CLE,CLE,C,3,162,80,82,N,N,N,N,858,857,Cleveland Indians,1814401,34319300
2005,AL,CLE,CLE,C,2,162,93,69,N,N,N,N,790,642,Cleveland Indians,2013763,41502500
2006,AL,CLE,CLE,C,4,162,78,84,N,N,N,N,870,782,Cleveland Indians,1997995,56031500
2007,AL,CLE,CLE,C,1,162,96,66,Y,N,N,N,811,704,Cleveland Indians,2275912,61673267
2008,AL,CLE,CLE,C,3,162,81,81,N,N,N,N,805,761,Cleveland Indians,2169760,78970066
2009,AL,CLE,CLE,C,4,162,65,97,N,N,N,N,773,865,Cleveland Indians,1766242,81579166
